project-id,project,project fullname,sha
1,agarciadom-xeger,agarciadom/xeger,f3b8a33b0f4438d639150b57b9a0257d50c71bc2
2,albfernandez-javadbf,albfernandez/javadbf,395265f33bcf9080b02f2102c4b6284921cefae2
3,almondtools-stringsearchalgorithms,almondtools/stringsearchalgorithms,19f26f1c06192816b1ff2fb3b86740898d50a44d
4,almson-almson-refcount,almson/almson-refcount,ded7fe38d1e84f2af98f1d845d30fcc46aad197b
5,Antibrumm-jackson-antpathfilter,Antibrumm/jackson-antpathfilter,40f3af16e9a32fec910fadfde144c4b58217d5e7
6,attoparser-attoparser,attoparser/attoparser,e1049dcd8261fe315b679029e711a9f5ea03f1cc
7,awslabs-route53-infima,awslabs/route53-infima,cabce497698e41d610a949e8a5e4a0528170382b
8,cocolian-cocolian-nlp,cocolian/cocolian-nlp,b82e28238261b12180cdbae11097e320824d87bb
9,codelion-gramtest,codelion/gramtest,355cf41dcf0904e8d28aeb220241df0137c789ca
10,conveyal-osm-lib,conveyal/osm-lib,4ff7fef141296ffe1d47a89ad40cefda7311566d
11,cowtowncoder-java-uuid-generator,cowtowncoder/java-uuid-generator,31408f5c088d27766269f905896efe383b38a46e
12,dakusui-jcunit,dakusui/jcunit,5e081ae71f7e1ab8326aed77612a97c983c9dc06
13,danieldk-dictomaton,danieldk/dictomaton,b23b48ba03ec43c0ce2ef1be85c0cbb8203a87b2
14,davidmoten-bplustree,davidmoten/bplustree,761c1da3772772260520c41d9e9be8405931b4e5
15,davidmoten-rtree,davidmoten/rtree,f1da3d62dbdab20654b63da91510c51a32e8b8a8
16,davidmoten-rtree2,davidmoten/rtree2,7da3d606a192321217f6b780b6ab4fdcd8e3e1ed
17,davidmoten-rtree-multi,davidmoten/rtree-multi,858da976228add017a4c9180e1e3968a26dedb4c
18,dperezcabrera-jpoker,dperezcabrera/jpoker,e771da71c3c5dc25b99355e41491933e78732e3e
19,eightbitjim-cassette-nibbler,eightbitjim/cassette-nibbler,788a04b49fe3d4c0905bd26109994d4952ad5db2
20,f4b6a3-uuid-creator,f4b6a3/uuid-creator,f9e6e6d02ecc8dac16a56e4fab1bd24caec8171c
21,finmath-finmath-lib,finmath/finmath-lib,ad5d22e93e335cd88c95f8f2d7ba6336e3947e68
22,flipkart-incubator-databuilderframework,flipkart-incubator/databuilderframework,d739c964a4dda5fa212a5c52da61bc39d62ebe3a
23,fraunhoferfokus-Fuzzino,fraunhoferfokus/Fuzzino,75d20f05db8dfbfe035a6df0b9eb7c88703886fc
24,fusion-jena-JaroWinklerSimilarity,fusion-jena/JaroWinklerSimilarity,03266936fa5350724979d78fef4213a20189ed0a
25,ghaffarian-progex,ghaffarian/progex,b8c75255305ba45dbcf7d895f81f415375edcd5e
26,Grundlefleck-ASM-NonClassloadingExtensions,Grundlefleck/ASM-NonClassloadingExtensions,8eb992f35817b2ef884a8dcaa502f829d85e5f90
27,hlavki-jlemmagen,hlavki/jlemmagen,43f7c636811a1f7fea7ae7db403ec6f3ec60e9b7
28,houbb-sensitive-word,houbb/sensitive-word,344edf54f635c24e036dff4862d19a52603347c7
29,huaban-jieba-analysis,huaban/jieba-analysis,e46e44ba2c7b8534a9b489801f4ce0d38378ad1a
30,indeedeng-vowpal-wabbit-java,indeedeng/vowpal-wabbit-java,3a9a92ac11a69d265656806e84bc9c05d138ef88
31,jahlborn-jackcess,jahlborn/jackcess,22bf8a8642c84fc500f5c66ef59de1f7211f93a3
32,kapoorlabs-kiara,kapoorlabs/kiara,40d11fb7e8d295c374f63d0e3b83d553d5374736
33,lexburner-consistent-hash-algorithm,lexburner/consistent-hash-algorithm,a8e712fee24a1982f263d2f58ec770bfe34ac7e8
34,LiveRamp-HyperMinHash-java,LiveRamp/HyperMinHash-java,9f5267dbaab4d82dcaf2eff4ceb4d9a1599bfeae
35,lukfor-pgs-calc,lukfor/pgs-calc,27fbf7f069e8fded26262094e87fe9d0c6ad6a16
36,MezereonXP-AnomalyDetectTool,MezereonXP/AnomalyDetectTool,03db9e457cb9d1866c82c5d24618fbabcbdf48a8
37,mimno-Mallet,mimno/Mallet,ff204eb8aa7f414e779f37843fb68b3e1fdc7015
38,mocnik-science-geogrid,mocnik-science/geogrid,702f29dffa36d82edf9744a79400a63fa7dde4db
39,myui-btree4j,myui/btree4j,4688aee221eaf2cf8972556a35cd6c49278ef2e0
40,octavian-h-time-series-math,octavian-h/time-series-math,4fad82278e42307458a9faa46c2f13e2ac9816c6
41,renfei-ik-analyzer,renfei/ik-analyzer,ce4e534d99528270d96639230275a81f4df7e118
42,romix-java-concurrent-hash-trie-map,romix/java-concurrent-hash-trie-map,03335a9caa6fc867344c8c015d6dfc2d11ab062f
43,sbesada-java.math.expression.parser,sbesada/java.math.expression.parser,cc92f58f6074b21cf6f5d4056b7f7cc5168f50af
44,solita-functional-utils,solita/functional-utils,bf42b0192232c06ae6c50725c352cecca844b3f4
45,spullara-java-future-jdk8,spullara/java-future-jdk8,5925719802af19ccc6602651fc243b2ff3726b4b
46,StarlangSoftware-TurkishDeasciifier,StarlangSoftware/TurkishDeasciifier,982c11d344788ed572a392a944a73993f83d5982
47,StarlangSoftware-TurkishMorphologicalDisambiguation,StarlangSoftware/TurkishMorphologicalDisambiguation,bf8dbc2cd835c67178eb896939ad1009b6743486
48,StarlangSoftware-TurkishPropBank,StarlangSoftware/TurkishPropBank,d99aae1239f782b42b077ce8e1a2b7e8e6ac716f
49,StarlangSoftware-TurkishSentiNet,StarlangSoftware/TurkishSentiNet,636ab8932a35d78033e8e501221c386521a8cbb3
50,StarlangSoftware-TurkishSpellChecker,StarlangSoftware/TurkishSpellChecker,0b81eabd080b1a12fc94d08b49b7a094785a9601
51,Sweetiee-yi-Jaba,Sweetiee-yi/Jaba,6c5e46516fe63265c2d414ab94f52fe349ac1ebf
52,wiqer-ef-redis,wiqer/ef-redis,bf067469f6f632b7b1cb1c17bd1377d1d6784328
53,zhoujianling-PointCloudUtilities,zhoujianling/PointCloudUtilities,300e156f74278522d7fd7edec7ad4ce0307da622
54,jingpeicomp-id-generator,jingpeicomp/id-generator,c388c1daca3b6da25f5eeef624aa172e2dce4867
55,palindromicity-simple-syslog,palindromicity/simple-syslog,aea2990ca8e29d027f6514d0993a1ba84662e69f
56,graphstream-gs-core,graphstream/gs-core,950b87280075f92a85b564b47ce6522ced5ba53a
57,jordw-heftydb,jordw/heftydb,d96a243782f706c60aea852fbf9f607b0b1656d0
58,StarlangSoftware-TurkishMorphologicalAnalysis,StarlangSoftware/TurkishMorphologicalAnalysis,26450b47db92b64580a2bfa4a0d7d0bce38edd49
59,houbb-segment,houbb/segment,7dd1eb26315c1fd7e86456826ef01e4d3ed72062
60,sangupta-bloomfilter,sangupta/bloomfilter,5c7769f7ed19cc0eb2860cc0e1d4c0159830cd9e
61,JetBrains-jetCheck,JetBrains/jetCheck,8a7b755816887ec6ace8ad68b581cbb4c3f46cad
