project,in tracemop,in tinymop,in both,only in tracemop,only in tinymop
agarciadom-xeger,2262,1687,1687,575,0
albfernandez-javadbf,271,271,271,0,0
almondtools-stringsearchalgorithms,4837,4844,4709,128,135
almson-almson-refcount,24,24,24,0,0
Antibrumm-jackson-antpathfilter,429,427,420,9,7
awslabs-route53-infima,769,773,743,26,30
cocolian-cocolian-nlp,33567,31302,24479,9088,6823
codelion-gramtest,1183,1230,1080,103,150
conveyal-osm-lib,3499,3509,3406,93,103
cowtowncoder-java-uuid-generator,128,120,120,8,0
danieldk-dictomaton,13837,13836,13836,1,0
davidmoten-bplustree,189,189,189,0,0
davidmoten-rtree,2825,2825,2764,61,61
davidmoten-rtree2,1808,1811,1773,35,38
davidmoten-rtree-multi,37833,37973,10849,26984,27124
dperezcabrera-jpoker,1714,1714,1686,28,28
f4b6a3-uuid-creator,202,197,196,6,1
flipkart-incubator-databuilderframework,1449,1449,1443,6,6
fraunhoferfokus-Fuzzino,6999,6999,6999,0,0
ghaffarian-progex,0,0,0,0,0
Grundlefleck-ASM-NonClassloadingExtensions,41821,41819,41720,101,99
hlavki-jlemmagen,2066,2066,2066,0,0
houbb-sensitive-word,308,308,308,0,0
huaban-jieba-analysis,1092,1092,1092,0,0
jahlborn-jackcess,0,0,0,0,0
kapoorlabs-kiara,104624,104731,61991,42633,42740
lexburner-consistent-hash-algorithm,27,27,27,0,0
LiveRamp-HyperMinHash-java,72,72,72,0,0
lukfor-pgs-calc,7728,7749,4711,3017,3038
MezereonXP-AnomalyDetectTool,684,687,680,4,7
mimno-Mallet,1379,1324,1293,86,31
mocnik-science-geogrid,63,63,63,0,0
myui-btree4j,1519,1546,458,1061,1088
octavian-h-time-series-math,542408,542408,542405,3,3
renfei-ik-analyzer,922,922,922,0,0
romix-java-concurrent-hash-trie-map,2364,2292,84,2280,2208
solita-functional-utils,921,921,917,4,4
spullara-java-future-jdk8,121,121,119,2,2
StarlangSoftware-TurkishDeasciifier,5157,5340,5065,92,275
StarlangSoftware-TurkishPropBank,93,93,93,0,0
StarlangSoftware-TurkishSentiNet,31,31,31,0,0
StarlangSoftware-TurkishSpellChecker,25658,27692,19427,6231,8265
Sweetiee-yi-Jaba,4966,4969,4966,0,3
wiqer-ef-redis,77,77,77,0,0
zhoujianling-PointCloudUtilities,0,0,0,0,0
palindromicity-simple-syslog,2458,2458,2458,0,0
graphstream-gs-core,818,818,808,10,10
jordw-heftydb,11402,11232,5552,5850,5680
StarlangSoftware-TurkishMorphologicalAnalysis,22858,22858,22858,0,0
houbb-segment,320,320,320,0,0
sangupta-bloomfilter,28,28,28,0,0
JetBrains-jetCheck,1692,1691,1686,6,5
