project,STANDARD_LIB,JAVAMOP,RVMONITOR,PROJECT,THIRD_PARTY_LIB,NATIVE,ASPECTJ,OTHER,VIOLATION,ASPECTJ_INSTRUMENTATION,ASPECTJ_RUNTIME,ASPECTJ_OTHER,MONITORING,SPECIFICATION,MOP_AND_AJC,RVMONITOR_LOCK,MONITORING_LOCK,LOCK,TRIE,LOCATION,MAVEN,JUNIT,UNKNOWN
hlavki-jlemmagen,0,0,187,156,0,0,0,107,0,101,0,0,71,16,337,14,0,0,68,17,716,0,0,
albfernandez-javadbf,0,0,9,484,0,0,0,41,0,96,1,0,95,158,272,1,0,0,8,255,830,0,0,
spullara-java-future-jdk8,0,0,5089,250400,0,0,0,131,0,103,0,0,71034,54154,1048,3988,0,0,513836,17730,921,0,0,
almson-almson-refcount,0,0,0,2,0,0,0,374,0,94,0,0,0,0,11,0,0,0,0,0,3031,0,0,
StarlangSoftware-TurkishDeasciifier,0,0,448,289,0,0,0,271,0,99,1,0,106,43,411,82,0,0,102,35,1647,0,0,
solita-functional-utils,0,0,66,248,0,0,0,1610,0,112,0,0,61,40,329,52,0,0,254,50,2763,0,0,
StarlangSoftware-TurkishPropBank,0,0,3175,249,0,0,0,1764,0,103,0,0,148,60,297,2346,0,0,35,59,509,0,0,
lexburner-consistent-hash-algorithm,0,0,4569,705,0,0,0,2844,0,99,0,0,218,154,322,2244,0,0,594,1288,1049,0,0,
awslabs-route53-infima,0,0,2244,213,0,0,0,1138,0,102,5,0,159,58,546,485,0,0,142,67,891,0,0,
agarciadom-xeger,0,0,2333,977,0,0,0,1453,0,93,0,0,535,191,338,632,0,0,582,470,951,0,0,
Antibrumm-jackson-antpathfilter,0,0,3,48,0,0,0,2130,0,111,0,5,8,4,235,1,0,0,2,2,7055,0,0,
davidmoten-bplustree,0,0,7712,4941,0,0,0,3477,0,107,0,0,464,342,314,1642,0,0,81,757,737,0,0,
StarlangSoftware-TurkishSentiNet,0,0,7052,283,0,0,0,3014,0,102,0,0,245,46,276,1237,0,0,227,42,448,0,0,
f4b6a3-uuid-creator,0,0,58,12251,0,0,0,467,0,108,0,0,25,10,303,12,27,0,5,13,2054,0,0,
fraunhoferfokus-Fuzzino,0,0,378,1768,0,0,0,934,0,108,0,1,3645,316,263,9,0,0,68005,41,3968,0,0,
wiqer-ef-redis,0,0,4808,88,0,0,0,2576,0,101,0,0,320,153,328,412,0,0,224,809,1597,0,0,
cowtowncoder-java-uuid-generator,0,0,2043,673,0,0,0,12676,0,103,0,0,139,80,330,1121,0,0,254,56,1336,0,0,
MezereonXP-AnomalyDetectTool,0,0,412,4310,0,0,0,11667,0,108,0,0,460,517,294,80,0,0,697,282,2555,0,0,
ghaffarian-progex,0,0,4974,685,0,0,0,2621,0,121,0,3,947,221,358,1186,0,0,2534,347,3869,0,0,
davidmoten-rtree2,0,0,4493,1484,0,0,0,2948,0,360,0,6,632,213,531,931,0,0,477,242,7189,0,0,
codelion-gramtest,0,0,6797,364,0,0,0,2495,0,103,0,0,533,446,378,1807,0,0,674,524,1550,0,0,
huaban-jieba-analysis,0,0,5172,1615,0,0,0,4900,0,96,20,0,692,422,351,1319,0,0,487,499,1338,0,0,
dperezcabrera-jpoker,0,0,13908,1027,0,0,0,4675,0,106,0,4,566,216,326,561,0,0,680,361,4521,0,0,
mimno-Mallet,0,0,9583,3339,0,0,0,141678,0,108,0,1,983,608,25,1124,0,0,177,452,3404,0,0,
myui-btree4j,0,0,5374,8462,0,0,0,2198,0,100,0,0,616,1041,315,812,0,0,643,477,1825,0,0,
Sweetiee-yi-Jaba,0,0,6841,1562,0,0,0,5744,0,101,8,0,1253,564,524,1379,0,0,481,558,927,0,0,
renfei-ik-analyzer,0,0,7361,1832,0,0,0,5259,0,92,0,0,546,289,388,1148,0,0,566,314,873,0,0,
mocnik-science-geogrid,0,0,836,3287,0,0,0,10555,0,101,0,0,1424,94,285,148,268,0,284,136,2291,0,0,
romix-java-concurrent-hash-trie-map,0,0,931,1298,0,0,0,1124,0,94,0,0,919,262,255,560,2504,0,1925,299,3191,0,0,
Grundlefleck-ASM-NonClassloadingExtensions,0,0,7253,7899,0,0,0,2980,0,390,0,2,681,458,387,2107,0,0,998,433,7136,0,0,
davidmoten-rtree-multi,0,0,5309,1875,0,0,0,3264,0,359,0,1,735,260,429,1456,0,0,997,348,7199,0,0,
sbesada-java.math.expression.parser,0,0,23289,2313,0,0,0,12389,0,100,0,0,8224,378,2492,3408,0,0,975,10819,506,0,0,
cocolian-cocolian-nlp,0,0,6790,2967,0,0,0,3992,0,104,0,0,577,616,677,1371,0,0,1189,627,2513,0,0,
flipkart-incubator-databuilderframework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
davidmoten-rtree,0,0,8648,2198,0,0,0,6639,0,456,0,3,1017,497,529,1918,0,0,1029,1140,8448,0,0,
houbb-sensitive-word,0,0,16755,2093,0,0,0,7398,0,95,0,0,4201,1046,4060,1871,0,0,4369,2538,1338,0,0,
fusion-jena-JaroWinklerSimilarity,0,0,18939,4163,0,0,0,12806,0,100,0,0,8021,2071,600,4302,0,0,6085,3591,999,0,0,
conveyal-osm-lib,0,0,1758,1459,0,0,0,7384,0,122,0,3,1218,222,355,1016,2248,0,2029,204,6659,0,0,
danieldk-dictomaton,0,0,12536,1595,0,0,0,6751,0,105,44,1,1510,489,2004,2971,0,0,1293,888,1887,0,0,
LiveRamp-HyperMinHash-java,0,0,6496,20305,0,0,0,4216,0,98,0,0,759,672,751,3315,0,0,227,880,421,0,0,
zhoujianling-PointCloudUtilities,0,0,1156,2217,0,0,0,2936,0,100,0,1,804,371,342,214,0,0,2479,331,7145,0,0,
almondtools-stringsearchalgorithms,0,0,12407,3315,0,0,0,8712,0,116,0,3,3131,1943,1316,3119,0,0,7447,799,3861,0,0,
lukfor-pgs-calc,0,0,2145,1226,0,0,0,15073,0,129,0,5,835,111,410,489,0,0,1290,412,27034,0,0,
dakusui-jcunit,0,0,59052,2792,0,0,0,21504,0,129,53,0,6936,2098,4353,8827,0,0,5370,3302,3611,0,0,
StarlangSoftware-TurkishMorphologicalDisambiguation,0,0,30157,10619,0,0,0,14414,0,96,0,0,16880,1880,428,5914,0,0,4418,2355,1603,0,0,
finmath-finmath-lib,0,0,0,44,0,0,0,43,0,101,0,1,6,2,359,0,1,0,0,0,1332,0,0,
eightbitjim-cassette-nibbler,0,0,21795,539,0,0,0,13425,0,106,0,0,4125,501,3972,12931,0,0,2861,933,6184,0,0,
StarlangSoftware-TurkishSpellChecker,0,0,5201,4288,0,0,0,25693,0,98,5,2,1729,500,493,1341,0,0,3020,648,2857,0,0,
